symbol,V,DM4,DM2,DM1,VA2,DC2,D,VM3_VA5,DL5,VA1v,DA1,DL3,VA1d,VP1l_VP3,DP1m_DC4,VP4_VP1d_VP2,DL2d/v_DP1l_VC3l,VL1_VM1,DC1
CG12868,0.5167312552602282,0.22986645218954282,0.41043621804471625,0.7560840555824896,0.5522123317634045,0.5392799461833916,0.464591969785984,0.25547955380435533,0.5573856068646165,0.5232250799908779,0.2782110017343882,0.0,1.1348740261422008,0.0,0.18412754231284567,0.21718801527765866,0.19635215921383162,0.7752302483777992,0.5100612935798005
CG12863,0.0,0.0,0.06548945659793014,0.09843438244085873,0.0886606248681047,0.0,0.08302060930080662,0.0,0.4781613254709871,0.12941185667161972,0.0,0.7084378822830862,0.0,0.0,0.18215224185823187,0.0,0.25988022256879806,0.0,0.22357270220410766
CG10131,0.0,0.10608113054873967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG12862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG10139,0.20313651806391775,0.07672789055995657,0.257145748399432,0.03797831580954022,0.0,0.0,0.5099693382124829,0.0,0.11395686570656255,0.1363445217262521,0.36162489252125174,0.0,0.0,0.0,0.06073467246280629,0.0,0.06088140490669355,0.1967097951797746,0.10348467240764812
Adgf-E,0.0,0.0,0.0,0.03724670374965696,0.0,0.0,0.0,0.0,0.0,0.012353744787519692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009034366156043878
CG12861,0.0,0.0,0.0,0.09729993444806714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG12860,0.0,0.0,0.0,0.011222106806029926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022704168962494692,0.0,0.0
CG12866,0.0,0.0,0.0,0.01752679387483476,0.0,0.0,0.0,0.0,0.0,0.0,0.07690602162268631,0.0,0.05429711713905339,0.13095759290058034,0.0,0.0,0.0,0.0,0.0
CG12858,2.7103081935586277,1.907021463566489,2.2982165246286073,2.0649025997981343,3.0551480258721178,2.6468357110599317,2.6155955719090818,2.9322146947555923,2.5160415687370534,3.9328970182564977,2.982953766511342,1.5544450018973492,2.46975454217815,3.588436271107812,2.3835640218380494,2.5851138305753887,2.2609915598639705,1.5918136012166155,3.7298480096690674
CG10151,0.22778858844219949,0.2263572482475531,0.2747039230521718,0.1136645287568727,0.10060808102958474,0.0,0.19352156155541952,0.31784608287184435,0.1456007732398231,0.06613018520536255,0.22105543908832878,0.0,0.0,0.2553627418533541,0.2864541047869168,0.26404160958574086,0.0,0.04350725690918902,0.0
ND-B15,0.8160464114924744,0.6107910280830352,0.47256626290477344,0.6683145443110331,0.6463421259917778,0.9742653924156123,0.7742582668397541,0.8354894035960485,0.6260953541079437,1.133182464961498,0.6848294018747604,0.5532897026863474,1.8785157711471412,1.1402108361515129,0.49562847470066307,0.29962468911344337,0.31010941279362875,0.7019620476816973,0.7929051728416175
CG12857,0.0,0.0,0.0,0.04859409792327444,0.0,0.0,0.0,0.0,0.0,0.07283574540243609,0.010046253289062147,0.0,0.0,0.0,0.0,0.0,0.07220845775048237,0.0,0.0
hui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG10202,0.0,0.0,0.0,0.007167438208448172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG10205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018191598798897885,0.0,0.0,0.0015164960427832058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CG10209,0.28450739945349723,0.0,0.14277945754519558,0.07707534204907814,0.42089990099034724,0.0,0.30132407783037984,0.0,0.26308406268611423,0.2690676739220545,0.31299032266256244,0.5079519462761017,0.0,0.0,0.36539867183942754,0.39672038409366206,0.0,0.31735164857922665,0.0
